Number,Time,Content
1,"00:00:00,000 --> 00:00:05,000",第1話 初日 パート1
2,"00:00:05,000 --> 00:00:11,000",アラームは7時に設定されていますが、私は早く起きます。
3,"00:00:11,000 --> 00:00:14,000",6時30分です。
4,"00:00:14,000 --> 00:00:20,000",私は興奮していて、同時に緊張もしています。
5,"00:00:20,000 --> 00:00:26,000",月曜日で、今日は私の新しい仕事を始める日です。
6,"00:00:26,000 --> 00:00:29,000",私は起きてシャワーを浴びます。
7,"00:00:29,000 --> 00:00:33,000",それから朝食を食べます。
8,"00:00:33,000 --> 00:00:40,000",お腹が空いていませんが、コーヒーを飲み、バナナを食べます。
9,"00:00:40,000 --> 00:00:46,000",私は自分の昼食のサンドイッチを作ります。
10,"00:00:46,000 --> 00:00:49,000",私は着替えに行きます。
11,"00:00:49,000 --> 00:00:53,000",オシャレなスーツとブラウスを選びます。
12,"00:00:53,000 --> 00:00:55,000",鏡を見ます。
13,"00:00:55,000 --> 00:01:00,000",フォーマルすぎるように見えるので、気が変わります。
14,"00:01:00,000 --> 00:01:08,000",濃い色のドレスとそれにマッチするジャケットは、もっと気軽に感じると思います。
15,"00:01:08,000 --> 00:01:12,000",私は歯を磨いて化粧をします。
16,"00:01:12,000 --> 00:01:21,000",私は自分の車の鍵を見つけてから、時間を調べて、とても早いということに気づきます。
17,"00:01:21,000 --> 00:01:24,000",7時15分です。
18,"00:01:24,000 --> 00:01:30,000",そして私は8時30分に仕事を始めます。
19,"00:01:30,000 --> 00:01:38,000",現時点で交通状況がどのようなものであるかわからないので、とにかく出発することにします。
20,"00:01:38,000 --> 00:01:43,000",私はピーターとヘンリーに別れを告げます。
21,"00:01:43,000 --> 00:01:48,000",私はちょうどいい時間、8時ごろに到着し、
22,"00:01:48,000 --> 00:01:55,000",車を駐車場に駐車し、そして新しい事務所のドアへ行きます。
23,"00:01:55,000 --> 00:01:59,000",そこまで歩いて3分かかります。
24,"00:01:59,000 --> 00:02:02,000",私はドアをノックします。
25,"00:02:02,000 --> 00:02:10,000",私の上司、ジャネットがドアに来て私を入れてくれます。
26,"00:02:10,000 --> 00:02:17,000",すでに働いている人もいますし、彼女は私を新しい同僚に紹介します。
27,"00:02:17,000 --> 00:02:20,000",彼女はこう言います。
28,"00:02:20,000 --> 00:02:22,000",こちらはサラさんです。
29,"00:02:22,000 --> 00:02:27,000",彼女は新しい業務マネージャーです。
30,"00:02:27,000 --> 00:02:32,000",私が彼らに紹介されるとき、誰もがとても親切で、
31,"00:02:32,000 --> 00:02:39,000",こんにちは、よう、よろしくお願いします、と言います。
32,"00:02:39,000 --> 00:02:44,000",ジャネットはトイレ、キッチンがどこにあるかを教えてくれ、
33,"00:02:44,000 --> 00:02:49,000",それから彼女は私のデスクに案内してくれます。
34,"00:02:49,000 --> 00:02:54,000",私は仕事を始めようと座ります。
35,"00:02:54,000 --> 00:03:01,000",私には学ぶべきことがたくさんあり、とても早く朝が過ぎます。
36,"00:03:01,000 --> 00:03:03,000",まもなく昼休みです。
37,"00:03:03,000 --> 00:03:10,000",私はサンドイッチを食べ、コーヒーを飲むために台所に行くことにします。
38,"00:03:10,000 --> 00:03:14,000",私はカバンを開けて中を見ます。
39,"00:03:14,000 --> 00:03:18,000",私はカバンを空にします。
40,"00:03:18,000 --> 00:03:21,000",取り出したものすべてを見てみます。
41,"00:03:21,000 --> 00:03:24,000",私のサンドイッチはどこ?
42,"00:03:24,000 --> 00:03:27,000",もう一度見ます。
43,"00:03:27,000 --> 00:03:30,000",それでもサンドイッチはありません。
44,"00:03:30,000 --> 00:03:35,000",仕方なく昼食にコーヒーだけを飲みます。
